survey_date,governorate,district,village_name,irrigation_system_type,crop_type,land_prep_plowing_cost_per_acre,land_prep_settlement_cost_per_acre,land_prep_division_cost_per_acre,land_prep_terracing_cost_per_acre,land_prep_total_cost,land_prep_workers_count,land_prep_worker_wage_per_day,land_prep_working_days,land_prep_labor_total_cost,land_prep_grand_total_cost,nursery_prep_total_cost,cultivation_laborers_count,cultivation_seeds_quantity,cultivation_worker_wage_per_day,cultivation_labor_total_cost,fertilizer_quantity_kg,fertilizer_cost_yer,fertilizer_total_cost,production_quantity_baskets_kg,production_harvest_frequency_per_month,production_total_harvest_cost,production_harvest_labor_cost,production_final_harvest_cost_yer,pest_control_type,pest_control_biological,pest_control_mechanical,pest_control_chemical,pest_control_other,pest_control_chemical_materials_cost,pest_control_workers_count,pest_control_worker_wage_per_day,pest_control_working_days,pest_control_labor_total_cost,pest_control_grand_total_cost,water_meter_reading,water_pumping_hours_per_irrigation,water_irrigation_frequency_per_month,water_calculated_hours_per_month,water_diesel_cost,water_workers_count,water_worker_wage_per_day,water_working_days_per_month,water_labor_total_cost,water_grand_total_cost,water_pumping_mechanism_type,water_engine_hours_per_acre_per_day,water_diesel_quantity_last_month,water_diesel_cost_last_month,record_index,total_cost,production_kg,cost_per_kg,production_efficiency,land_prep_grand_total_cost_pct,nursery_prep_total_cost_pct,cultivation_labor_total_cost_pct,fertilizer_total_cost_pct,production_final_harvest_cost_yer_pct,pest_control_grand_total_cost_pct,water_grand_total_cost_pct,is_drip_irrigation,is_traditional_irrigation,survey_year,survey_month,survey_month_name
2020-01-06,Lahj,Tuban,الوهط,Traditional,Leafy plant,8000,8000,10000,10000,36000,1,5000,1,5000,41000,6000,1,5000,1,5000,50,750,37500,125.0,1.0,100,12500,20000.0,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,,1,2000,1,2000,2000,42,8,3,80.0,32000,1,5000,3,15000,47000,مضخات الديزل,8,20,20000,1,158500.0,125.0,1268.0,0.7886435331230284,25.86750788643533,3.7854889589905363,3.1545741324921135,23.65930599369085,12.618296529968454,1.2618296529968454,29.652996845425868,0,1,2020,1,January
2020-01-06,Lahj,Tuban,الحاسكي,Drip,Leafy plant,8000,12000,0,0,20000,0,0,0,0,20000,6000,5,3000,6,90000,50,700,35000,0.0,0.0,0,0,0.0,"اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,0,1,,3,3000,3,27000,27000,21,4,15,200.0,80000,1,1000,15,15000,95000,مضخات الديزل,4,120,48000,6,273000.0,0.0,,0.0,7.326007326007327,2.197802197802198,32.967032967032964,12.82051282051282,0.0,9.89010989010989,34.798534798534796,1,0,2020,1,January
2020-01-07,Lahj,Tuban,الصمصام,Drip,Leafy plant,12000,18000,0,0,30000,0,0,0,0,30000,6000,3,3000,3,27000,20,700,14000,180.0,1.0,100,18000,30000.0,"اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,0,1,,0,0,0,0,0,41,3,15,150.0,60000,3,2000,15,90000,150000,مضخات كهرباء,3,0,6000,9,257000.0,180.0,1427.7777777777778,0.7003891050583658,11.673151750972762,2.3346303501945527,10.505836575875486,5.447470817120623,11.673151750972762,0.0,58.36575875486382,1,0,2020,1,January
2020-01-08,Lahj,Tuban,جول اليماني,Traditional,Leafy plant,18000,12000,6000,6000,42000,2,3000,4,24000,66000,6000,1,3000,1,3000,50,700,35000,140.0,1.0,100,14000,19000.0,"اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,0,1,,0,0,0,0,0,89,8,6,160.0,64000,1,3000,6,18000,82000,مضخات الديزل,8,120,45000,18,211000.0,140.0,1507.142857142857,0.6635071090047393,31.27962085308057,2.843601895734597,1.4218009478672986,16.587677725118482,9.004739336492891,0.0,38.862559241706165,0,1,2020,1,January
2020-01-08,Lahj,Tuban,الحمراء,Drip,Leafy plant,21000,7000,0,0,28000,0,0,0,0,28000,6000,2,3000,3,18000,0,0,0,165.0,1.0,100,16500,20000.0,"اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,0,1,,0,0,0,0,0,30,2,10,66.7,26680,1,1000,10,10000,36680,مضخات كهرباء,2,0,6000,20,108680.0,165.0,658.6666666666666,1.5182186234817814,25.76370997423629,5.520794994479205,16.562384983437614,0.0,18.40264998159735,0.0,33.75046006624954,1,0,2020,1,January
2020-01-30,Lahj,Tuban,الوهط,Traditional,Leafy plant,24000,32000,8000,32000,96000,2,4000,4,32000,128000,6000,2,4000,2,16000,0,0,0,75.0,2.0,100,7500,50000.0,"اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,0,1,,1,3000,2,6000,6000,50,3,4,40.0,16000,1,2000,4,8000,24000,مضخات الديزل,3,40,20000,40,230000.0,75.0,3066.6666666666665,0.32608695652173914,55.65217391304348,2.608695652173913,6.956521739130435,0.0,21.73913043478261,2.608695652173913,10.434782608695652,0,1,2020,1,January
2020-01-08,Lahj,Tuban,كوكبان,Traditional,Onion,42000,56000,10000,11000,119000,6,3000,3,54000,173000,40600,9,1200,2,21600,150,700,105000,16000.0,1.0,150,2400000,3272000.0,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,80000.0,3,3000,3,27000,107000,520,16,4,213.3,85320,2,2500,4,20000,105320,مضخات الديزل,24,320,128000,12,3824520.0,16000.0,239.0325,4.183531528139479,4.5234434648008115,1.0615711252653928,0.5647767562988296,2.745442565341533,85.55321975045234,2.7977367094432766,2.753809628397812,0,1,2020,1,January
2020-01-06,Lahj,Tuban,الوهط,Traditional,Onion,21000,14000,14000,3500,52500,4,5000,1,20000,72500,53000,4,1000,1,4000,50,720,36000,0.0,0.0,0,0,0.0,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,18000.0,2,4000,1,8000,26000,1590,12,3,120.0,48000,1,4000,3,12000,60000,مضخات كهرباء,10,0,60000,3,251500.0,0.0,,0.0,28.82703777335984,21.07355864811133,1.5904572564612325,14.314115308151093,0.0,10.337972166998012,23.856858846918488,0,1,2020,1,January
2020-01-06,Lahj,Tuban,صبر,Traditional,Onion,28000,17500,14000,14000,73500,4,3000,3,36000,109500,50000,6,2000,3,36000,50,750,37500,,,0,0,,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,30000.0,2,3000,2,12000,42000,110,3,6,60.0,24000,2,3000,6,36000,60000,مضخات الديزل,3,120,48000,5,335000.0,,,,32.6865671641791,14.925373134328357,10.746268656716417,11.194029850746269,,12.53731343283582,17.91044776119403,0,1,2020,1,January
2020-01-07,Lahj,Tuban,كدمه عوض علي,Traditional,Onion,48000,32000,48000,8000,136000,5,5000,1,25000,161000,20000,3,1500,5,22500,200,720,144000,7000.0,1.0,150,1050000,50000.0,"مكافحة كيمياوية (باستخدام المبيدات) اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,1,1,75000.0,3,3000,3,27000,102000,510,16,3,160.0,64000,2,4000,6,48000,112000,مضخات الديزل,16,240,96000,7,611500.0,7000.0,87.35714285714286,11.447260834014717,26.32869991823385,3.2706459525756335,3.679476696647588,23.548650858544562,8.176614881439084,16.68029435813573,18.315617334423546,0,1,2020,1,January
2020-01-07,Lahj,Tuban,كدمه عوض علي,Traditional,Onion,16000,16000,8000,8000,48000,4,5000,2,40000,88000,210000,3,2000,4,24000,175,740,129500,24000.0,1.0,150,3600000,60000.0,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,40000.0,3,5000,1,15000,55000,357,12,3,120.0,48000,2,4000,3,24000,72000,مضخات الديزل,12,120,510000,8,638500.0,24000.0,26.604166666666668,37.588097102584186,13.782302270947532,32.88958496476116,3.7588097102584186,20.28191072826938,9.397024275646046,8.613938919342209,11.276429130775254,0,1,2020,1,January
2020-01-30,Lahj,Tuban,الكدام,Traditional,Onion,0,0,0,0,0,0,0,0,0,0,120000,3,2000,3,18000,0,0,0,0.0,0.0,0,0,0.0,"اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,0,1,,1,2000,2,4000,4000,289,9,5,150.0,60000,1,2000,5,10000,70000,مضخات الديزل,9,150,60000,47,212000.0,0.0,,0.0,0.0,56.60377358490566,8.49056603773585,0.0,0.0,1.8867924528301887,33.0188679245283,0,1,2020,1,January
2020-01-06,Lahj,Tuban,الوهط,Traditional,Onion,28000,21000,14000,32000,95000,4,5000,2,40000,135000,18000,3,1000,2,6000,25,680,17000,0.0,0.0,0,0,0.0,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,36000.0,3,3000,2,18000,54000,349,16,6,320.0,128000,2,4000,6,48000,176000,مضخات الديزل,18,120,51000,4,406000.0,0.0,,0.0,33.251231527093594,4.433497536945813,1.477832512315271,4.1871921182266005,0.0,13.30049261083744,43.34975369458128,0,1,2020,1,January
2020-01-08,Lahj,Tuban,طهرور,Drip,Onion,18000,12000,0,0,30000,0,0,0,0,30000,120000,5,3000,5,75000,0,0,0,0.0,0.0,0,0,0.0,"اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,1,1,7000.0,2,2000,2,8000,15000,62,3,10,100.0,40000,1,1000,10,10000,50000,مضخات الديزل,3,100,35000,19,290000.0,0.0,,0.0,10.344827586206897,41.37931034482759,25.862068965517242,0.0,0.0,5.172413793103448,17.24137931034483,1,0,2020,1,January
2020-01-07,Lahj,Tuban,عبربدر,Drip,Onion,18000,12000,0,0,30000,0,0,0,0,30000,20000,4,1400,5,28000,25,800,20000,0.0,0.0,0,0,0.0,"اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,1,1,30000.0,2,2000,1,4000,34000,199,8,4,106.7,42680,1,2000,4,8000,50680,مضخات كهرباء,8,0,8000,10,182680.0,0.0,,0.0,16.422158966498795,10.948105977665863,15.32734836873221,10.948105977665863,0.0,18.61178016203197,27.742500547405296,1,0,2020,1,January
2020-01-30,Lahj,Tuban,طهرور,Drip,Onion,0,0,0,0,0,0,0,0,0,0,120000,4,2000,5,40000,120,700,84000,0.0,0.0,0,0,0.0,"اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,0,1,,2,2000,3,12000,12000,70,3,10,100.0,40000,1,2000,10,20000,60000,مضخات الديزل,3,110,45000,46,316000.0,0.0,,0.0,0.0,37.9746835443038,12.658227848101266,26.582278481012654,0.0,3.79746835443038,18.9873417721519,1,0,2020,1,January
2020-01-27,Lahj,Tuban,المحط,Drip,Onion,0,0,0,0,0,0,0,0,0,0,120000,4,2000,4,32000,0,0,0,0.0,0.0,0,0,0.0,"اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,0,1,,0,0,0,0,0,19,2,8,53.3,21320,1,2000,8,16000,37320,مضخات الديزل,2,40,16,24,189320.0,0.0,,0.0,0.0,63.38474540460596,16.90259877456159,0.0,0.0,0.0,19.712655820832452,1,0,2020,1,January
2020-01-28,Lahj,Tuban,الفيوش,Drip,Onion,0,0,0,0,0,0,0,0,0,0,120000,4,2000,4,32000,0,0,0,0.0,0.0,0,0,0.0,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,15000.0,1,3000,3,9000,24000,96,4,8,106.7,42680,1,3000,8,24000,66680,مضخات كهرباء,4,0,0,30,242680.0,0.0,,0.0,0.0,49.44783253667381,13.18608867644635,0.0,0.0,9.889566507334761,27.47651227954508,1,0,2020,1,January
2020-01-29,Lahj,Tuban,الحمراء,Drip,Onion,0,0,0,0,0,0,0,0,0,0,120000,4,2000,4,32000,70,740,51800,0.0,0.0,0,0,0.0,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,17000.0,2,2000,1,4000,21000,104,3,8,80.0,32000,1,3000,3,9000,41000,مضخات الديزل,3,80,30000,36,265800.0,0.0,,0.0,0.0,45.146726862302486,12.039127163280662,19.48833709556057,0.0,7.900677200902935,15.425131677953349,1,0,2020,1,January
2020-01-27,Lahj,Tuban,بئر فضل,Drip,Onion,0,0,0,0,0,0,0,0,0,0,120000,4,2000,4,32000,0,0,0,0.0,0.0,0,0,0.0,"اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,0,1,,0,0,0,0,0,32,2,10,66.7,26680,1,2000,10,20000,46680,مضخات الديزل,2,40,16000,23,198680.0,0.0,,0.0,0.0,60.398630964364806,16.10630159049728,0.0,0.0,0.0,23.49506744513791,1,0,2020,1,January
